Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
Ugyja0adm96nluXL_Ph4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2017-08-10T07:12:27.420229+00:00,0,,DfRLXaxPVIA,"{""text"":""Hey quang was the butter you used salted or unsalted butter? Thanks""}",
UgiyV55o_ePg03gCoAEC.8UGKmlx0Ah-8UwCc-pyc42,UCbClSOItOom1IT8ZLKnZYEA,2017-07-12T22:55:55.917542+00:00,0,UgiyV55o_ePg03gCoAEC,NWWeQlXfSa0,"{""text"":""DenieceAnastassia Harbaugh apples to oranges""}",UgiyV55o_ePg03gCoAEC
UgjFB0Tq8Pi_oHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-06-28T20:35:50.088+00:00,0,,5bAEvWF-EDg,"{""text"":""fucking lit as cheese""}",
Ugj24XbnybVrHHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-06-28T17:20:36.06+00:00,0,,Y1YN3f4yRW8,"{""text"":""Bun rieu is vietnamese isn't it?""}",
Ugj_WVCOW4HJBngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-06-27T05:13:16.057+00:00,0,,HkKWipHsFD4,"{""text"":""0:38"",""videoLink"":{""externalVideoId"":""HkKWipHsFD4"",""startTimeSeconds"":38}},{""text"":"" didnt know lavar ball chills with the g's""}",
UgjRF58KMNZr3ngCoAEC.8UFne4DJfnZ8UGHzlj05c-,UCbClSOItOom1IT8ZLKnZYEA,2017-06-26T06:55:31.373691+00:00,0,UgjRF58KMNZr3ngCoAEC,wpq7mufLIrc,"{""text"":""Korean BBQ feast with all bon chon (side dishes)""}",UgjRF58KMNZr3ngCoAEC
UgiSUwR8U4mIUXgCoAEC.8U9pXhrQhWD8U9s4K74XAT,UCbClSOItOom1IT8ZLKnZYEA,2017-06-23T19:04:54.620618+00:00,0,UgiSUwR8U4mIUXgCoAEC.8U9pXhrQhWD8U9peHwMzW9,v4TXfyMdN5M,"{""text"":""i would go here once a week if I could. this place is a gem! I would have never known about this place if my friend's hometown wasn't in fullerton. sadly i live in northern california.""}",UgiSUwR8U4mIUXgCoAEC
UgiSUwR8U4mIUXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-06-23T18:42:42.264+00:00,0,,v4TXfyMdN5M,"{""text"":""this place is godly""}",
UghOv83-6e2heXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-05-30T21:09:00.416+00:00,0,,FAQwVS04nP4,"{""text"":""NO CHOPSTICKS!?""}",
Ugjvi_eDFLXvaHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-05-25T01:40:17.326+00:00,0,,M2E44pQGAN4,"{""text"":""hi""}",
UghiKLtJaRRJAHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-05-09T17:46:43.279+00:00,0,,FyP12mD9g1E,"{""text"":""holy fuck i remember when you had like a lot less subs, where is your it g ma reaction video??""}",
Ugg0cepDNlmp4XgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-05-07T04:20:39.549+00:00,0,,io3VFnH8mbw,"{""text"":""INSTRUMENTAL - Money Mitch - Lil Uzi Vert""}",
UggaRu4COe90-HgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-01-31T17:05:44.765+00:00,0,,KKnJgSAZEq4,"{""text"":""Majestic as a lion in the jungle, Quavo pours Henny in his cup.""}",
UgjGTWAZ8IABRngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-01-29T06:43:48.778+00:00,0,,xCWChOXXbvA,"{""text"":""My mom make this shit too during new year and I don't microwave the food that is offered feels right to eat it cold for some reason lol""}",
Ugh9FCeI4UJUDXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2017-01-20T15:51:59.001+00:00,0,,G64zKIFHFV4,"{""text"":""One of Offset's pinnacle moments... Everyone chanting his verse""}",
UgiK2mQ4o0411XgCoAEC.8NsaDJ0rm1d8Nv7hB5pW4p,UCbClSOItOom1IT8ZLKnZYEA,2017-01-19T13:13:56.947292+00:00,0,UgiK2mQ4o0411XgCoAEC,S-sJp1FfG7Q,"{""text"":""Christina Alina  pot pot""}",UgiK2mQ4o0411XgCoAEC
UgjhsOm_-HVQIHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-12-22T19:59:00.428+00:00,0,,4iYfwx4lo5E,"{""text"":""are u using a client""}",
UghFB2uJLob99XgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-12-22T18:10:05.852+00:00,0,,f2Qo3Ltu5S0,"{""text"":""Says he's gonna sip it, proceeds to chug the whole cup""}",
Ugg6L53W0v4Q3ngCoAEC.8MemgKt4g8m8MgNV2kZJ0f,UCbClSOItOom1IT8ZLKnZYEA,2016-12-19T23:11:57.842143+00:00,0,Ugg6L53W0v4Q3ngCoAEC,Vh36NPTjudY,"{""text"":""tits""}",Ugg6L53W0v4Q3ngCoAEC
Ugg6L53W0v4Q3ngCoAEC.8MemgKt4g8m8Mfv65Bs0nP,UCbClSOItOom1IT8ZLKnZYEA,2016-12-19T18:55:09.027143+00:00,0,Ugg6L53W0v4Q3ngCoAEC,Vh36NPTjudY,"{""text"":""yah u right, i am just thinking cause here in the US all the indian people be baller af""}",Ugg6L53W0v4Q3ngCoAEC
Ugg6L53W0v4Q3ngCoAEC.8MemgKt4g8m8MfiY58DFEZ,UCbClSOItOom1IT8ZLKnZYEA,2016-12-19T17:05:22.636405+00:00,0,Ugg6L53W0v4Q3ngCoAEC,Vh36NPTjudY,"{""text"":""tru""}",Ugg6L53W0v4Q3ngCoAEC
Ugg6L53W0v4Q3ngCoAEC.8MemgKt4g8m8MffWIKKEzA,UCbClSOItOom1IT8ZLKnZYEA,2016-12-19T16:38:55.079033+00:00,0,Ugg6L53W0v4Q3ngCoAEC,Vh36NPTjudY,"{""text"":""I have personally been grateful to get the opportunity to go to some of these countries in Asia after all, but if you have been to these countries, just because they are in poverty does not mean that they see it that way. I am from the United States, yes but that doesn't exactly mean that my family is rich in Vietnam. This is THEIR lifestyle, to you it might be poor, but for them having family around and food is something even I can't ask for here a lot of the times just because I don't have family here. I was also referring to all the countries aren't like the other person's because they were saying that they can't afford a mixer/blender... maybe they don't have to use it all?? lol""}",Ugg6L53W0v4Q3ngCoAEC
Ugg6L53W0v4Q3ngCoAEC.8MemgKt4g8m8MeyMQ1G8E7,UCbClSOItOom1IT8ZLKnZYEA,2016-12-19T10:04:21.200251+00:00,0,Ugg6L53W0v4Q3ngCoAEC,Vh36NPTjudY,"{""text"":""VIOLYNCE this is in a different country... not all countries are like yours lol""}",Ugg6L53W0v4Q3ngCoAEC
UghtNPiMAsxomHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-12-14T18:29:14.8+00:00,0,,begXRbpRSVc,"{""text"":""B. Lou with the OMM shirt... on my momma!!""}",
UgjUVaaSUtxf8XgCoAEC.8LdvZ9BsO7h8MIEoAp1kbt,UCbClSOItOom1IT8ZLKnZYEA,2016-12-10T04:55:03.265785+00:00,0,UgjUVaaSUtxf8XgCoAEC,F4IKIuTShwE,"{""text"":""eat like half n u should be gucci""},{""text"":""\n""},{""text"":""./""}",UgjUVaaSUtxf8XgCoAEC
Ugg0qcrFwu9IrXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-12-06T18:39:54.277+00:00,0,,g7X9t5Hf_kI,"{""text"":""the dessert would probably taste really good in milk tea""}",
UggxOIkwpuFOk3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-11-27T00:10:02.314+00:00,0,,PaoGHVgdSWo,"{""text"":""Please react to Year of the Ox - Seven Rings.. (asian)""}",
UggN72GdAJDosXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-11-26T21:34:21.227+00:00,0,,IkYw6OSNhW8,"{""text"":""piano and solo towards second drop are the best parts""}",
Ugg64Mia-zM_8ngCoAEC.8LUdTkJx9XJ8LUs9_OLH7T,UCbClSOItOom1IT8ZLKnZYEA,2016-11-20T06:07:07.814262+00:00,0,Ugg64Mia-zM_8ngCoAEC,JSThMhOK34w,"{""text"":""Colton Kirby cause this fucker opens cases""}",Ugg64Mia-zM_8ngCoAEC
Ugii6SHg7Mt_JXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-11-20T05:21:45.304+00:00,0,,60XsKHXFWsU,"{""text"":""dude is vietnamese but looks mexican""}",
Ugg8gsUxOT0I5HgCoAEC.8LSHIbIsYnR8LSHKbPOEim,UCbClSOItOom1IT8ZLKnZYEA,2016-11-19T05:58:06.436051+00:00,0,Ugg8gsUxOT0I5HgCoAEC,DF6dRfpnf5g,"{""text"":""What's op ferro mob""}",Ugg8gsUxOT0I5HgCoAEC
Ugg8gsUxOT0I5HgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-11-19T05:57:49.967+00:00,0,,DF6dRfpnf5g,"{""text"":""Ferro mob""}",
Ugi4WWet4DN8rngCoAEC.8Kd7FAgXN1r8LPu9VpbcP_,UCbClSOItOom1IT8ZLKnZYEA,2016-11-18T07:48:23.660763+00:00,0,Ugi4WWet4DN8rngCoAEC,u3DplEgzGng,"{""text"":""simply because his finger is on top of the card instead of the middle finger like wtf""}",Ugi4WWet4DN8rngCoAEC
Ugi6mXlk9r9NIngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-11-17T04:12:04.943+00:00,0,,8-tPcVb3anI,"{""text"":""Garnished with weed leaves ""},{""text"":""5:26"",""videoLink"":{""externalVideoId"":""8-tPcVb3anI"",""startTimeSeconds"":326}}",
UgiIVhP8XnRtqHgCoAEC.8KcAPt8vT3X8LKdxsLn2dP,UCbClSOItOom1IT8ZLKnZYEA,2016-11-16T06:50:39.434832+00:00,0,UgiIVhP8XnRtqHgCoAEC,v5APKUaujVk,"{""text"":""Jason Lee ff""}",UgiIVhP8XnRtqHgCoAEC
