Comment ID,Channel ID,Comment Create Timestamp,Price,Currency code,Super Thanks Identifier,Parent Comment ID,Post ID,Video ID,Comment Text,Price Tier ID,Top-Level Comment ID
UgzrqgSCitWLb3K7P8h4AaABAg.AOajUJJGbCyAPG9q9SFbqj,UCbClSOItOom1IT8ZLKnZYEA,2025-11-08T10:05:47.059813+00:00,0,,,UgzrqgSCitWLb3K7P8h4AaABAg,,noqtBSq-oUg,"{""text"":""left off""}",,UgzrqgSCitWLb3K7P8h4AaABAg
Ugy2cFESXLpNvTS2gcB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-11-08T09:02:58.113426+00:00,0,,,,,XtAM-gabrb0,"{""text"":""how do i get more OP? anyone have any ideas? i needa get this cutie dial .""}",,
Ugyxe_LYz4O23Hf51YF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-10-31T05:50:22.781822+00:00,0,,,,,idz09Y8T57M,"{""text"":""i feel immersed in the ai interaction""}",,
UgzX9xoiPGDMIFJ3TkZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-10-27T03:56:12.218101+00:00,0,,,,,6nEgJo1Q19Y,"{""text"":""i like the background music some 🔥""}",,
UgwpoyIFCqOqkYEr0bV4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-10-24T01:17:17.373639+00:00,0,,,,,Fd36gsuyKbM,"{""text"":""Thanks all for the support""}",,
UgzM15OE9tpL9MU6YHx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-10-20T07:26:57.997002+00:00,0,,,,,eOrds-SKT0Q,"{""text"":""yall funny… 😂""}",,
UgwGsjRbvvCGJiYAkzF4AaABAg.AOJbypke1TPAOJcyMT8PPf,UCbClSOItOom1IT8ZLKnZYEA,2025-10-15T21:55:22.573605+00:00,0,,,UgwGsjRbvvCGJiYAkzF4AaABAg,,tqS9ePeX8Ms,"{""text"":""1 present + 1 present = 2 🎁 🎁""}",,UgwGsjRbvvCGJiYAkzF4AaABAg
Ugy5QI4F86sq8YqI_pR4AaABAg.AOJbvApCJHoAOJcbu-ZUcN,UCbClSOItOom1IT8ZLKnZYEA,2025-10-15T21:52:18.570733+00:00,0,,,Ugy5QI4F86sq8YqI_pR4AaABAg,,RABha2P2YSM,"{""text"":""mo brûlée adhd. show your picture puzzy. (hexxx)""}",,Ugy5QI4F86sq8YqI_pR4AaABAg
UgzvJdYeDi6OmKiAOEV4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-10-14T06:11:48.639451+00:00,0,,,,,AhVh55kV5H4,"{""text"":""stay tuned for my update!""}",,
UgydSX3Ddlv_qzogWON4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-10-14T06:11:19.332764+00:00,0,,,,,AhVh55kV5H4,"{""text"":""why you salty? this ain’t nothing new.""}",,
UgzlPY8wFF_xDJ8eR4Z4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-27T20:27:53.356322+00:00,0,,,,,62NM-4_Yue4,"{""text"":""111""}",,
UgwfLcwdPJMTqKiuSyF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-24T23:15:44.869118+00:00,0,,,,,rYKYtZkDsZI,"{""text"":""i’ll be here all week""}",,
UgzvuVGtjOTfo14yI-h4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-23T05:40:08.479091+00:00,0,,,,,0yXWEUDBGgk,"{""text"":""i don’t make conflict i end it ❤""}",,
Ugyecr6lCJQtoQ3anaF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-16T16:35:08.019953+00:00,0,,,,,zDAQLw63XBU,"{""text"":""AHAHAH THANK U""}",,
UgyCzQ9sbFvbim0EJ5J4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-16T01:31:00.2272+00:00,0,,,,,rLJTfVtRJVc,"{""text"":""team smokescreen""}",,
Ugzn8RIYn3gdMHEkj4h4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-14T19:31:31.253129+00:00,0,,,,,Bl8A343DA-k,"{""text"":""arkk log""}",,
Ugyv_0WIR0xyRZikusJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-13T06:09:03.973657+00:00,0,,,,,DxpqOjkuQX0,"{""text"":""whoever did that is a homosexual cause i only work with dudes""}",,
UgxAAdEafHL7lGiOgHJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-13T05:54:00.454516+00:00,0,,,,,db6NKjJ9Jbg,"{""text"":""respectfully, get fucked""}",,
Ugx5fraUWoWekBIK7Yp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-12T00:52:09.6519+00:00,0,,,,,jOgX5livZXg,"{""text"":""PEACE OUT GIRL SCOUT""}",,
Ugz2qrUJ4wUxkzILzF94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-12T00:43:37.548392+00:00,0,,,,,BI1ncWn-yrQ,"{""text"":""Shoutout the most high!""}",,
UgyRfcRPXorusk-QEsl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-11T17:15:14.676577+00:00,0,,,,,rDgVXEYStbw,"{""text"":""google turned it shoutout to youtube""}",,
Ugxdc0FNNTe3TgnM_mt4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-11T16:37:36.409709+00:00,0,,,,,rDgVXEYStbw,"{""text"":""I’m Still Standing ! Wym I kneeled??????""}",,
UgzB-qM0Mrd-Oy8vAE94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-11T05:35:28.543988+00:00,0,,,,,qCBv0RGG-KE,"{""text"":""Free my city 🌃""}",,
UgwuQ4pPoPInpnyFNHN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-08T18:15:29.193195+00:00,0,,,,,a6SQ_X2qpG8,"{""text"":""777""}",,
UgxhWxtbxkuf6cgynlp4AaABAg.AMgxmiupalcAMnwVfnPvS5,UCbClSOItOom1IT8ZLKnZYEA,2025-09-08T08:39:45.244779+00:00,0,,,UgxhWxtbxkuf6cgynlp4AaABAg,,vLDusGQsKFI,"{""text"":""🧢 🧢""}",,UgxhWxtbxkuf6cgynlp4AaABAg
UgxKIg18IMxs4tbWCKR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-07T23:35:16.584474+00:00,0,,,,,e6zvgqh7QMc,"{""text"":""It’s never too late!""}",,
UgxSocNuMyieIatMRtx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-07T21:54:36.463174+00:00,0,,,,,9Ei1Pe9NGvQ,"{""text"":""77""}",,
UgwNk3uJLpz3M_sVPI54AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2025-09-07T06:02:38.207382+00:00,0,,,,,b1c4QOZNJL4,"{""text"":""fingers crossed 🤞""}",,
