Video ID,Video Recording Address,Video Recording Date,Video Recording Altitude,Video Recording Latitude,Video Recording Longitude,Place ID derived from Google's Places API
PrynUUwIs_E,,,0,0,0,
kOnfakrCM9U,,,0,0,0,
uzlunUu3Xr4,,,0,0,0,
gDgz_7vPzXU,,,0,0,0,
zdOhOtp6rXM,,,0,0,0,
Xqy4eXZ1x9Y,,,0,0,0,
s37enz3GAao,,,0,0,0,
OMjHVN8sHvM,,,0,0,0,
hkRnTxblGAg,,,0,0,0,
p-wS8T7nl8A,,,0,0,0,
UVPwundg0Ik,,,0,0,0,
9PNm5rWp_JE,,,0,0,0,
KmKsv4XT8I0,,,0,0,0,
m_A5b59JYBU,,,0,0,0,
hcslJvMXFbA,,,0,0,0,
VKSBUQQMdRM,,,0,0,0,
jDLt2Rke6OI,,,0,0,0,
pbCkpZtzGTo,,,0,0,0,
NhUdnIB0Jz4,,,0,0,0,
0r0hvPIxYUM,,,0,0,0,
hmzVMDwe9SU,,,0,0,0,
60n2niqIDcQ,,,0,0,0,
jjszSHMo7Rw,,,0,0,0,
VRN346pygUY,,,0,0,0,
TT1sHROahYg,,,0,0,0,
b0pTYBekVC0,,,0,0,0,
YntI9ji-YBE,,2019-04-04T00:00:00+00:00,0,0,0,
3iKPYTmG7Tw,,,0,0,0,
A4gN4KuVVwA,,,0,0,0,
uBHjd7sLBQg,,,0,0,0,
3Ga-lxVTSjY,,,0,0,0,
7y9BbD4pgBw,,,0,0,0,
TElkuN3d_E0,,,0,0,0,
OTS808LDypY,,,0,0,0,
4FHrrUhuLPI,,,0,0,0,
k4d2a860SD0,,,0,0,0,
 -ksOXve-tKE,,,0,0,0,
vStFQUuYcsY,,,0,0,0,
sxH0NQi0id4,,,0,0,0,
pt-7FEIhYc4,,,0,0,0,
bCJ0XUG-5-4,,,0,0,0,
uQf85BIb_lk,,,0,0,0,
aHf67h9_Huc,,,0,0,0,
62DCDBde6Fo,San Jose,,0,37.3382,-121.886,ChIJ9T_5iuTKj4ARe3GfygqMnbk
QxSMDUAXLCE,San Jose,,0,37.3382,-121.886,ChIJ9T_5iuTKj4ARe3GfygqMnbk
lxTW2WoJCGo,San Jose,,0,37.3382,-121.886,ChIJ9T_5iuTKj4ARe3GfygqMnbk
NOmVJ6Gkc7U,,,0,0,0,
ZWH35_kDiGY,,,0,0,0,
MJxdISyJ52w,,,0,0,0,
RBvdaw5KiYA,California,,0,36.7783,-119.418,ChIJPV4oX_65j4ARVW8IJ6IJUYs
ZFAZ5a8zLCs,,,0,0,0,
pHmhWcowvoo,California,,0,36.7783,-119.418,ChIJPV4oX_65j4ARVW8IJ6IJUYs
l2Y7k3h3zGQ,San Jose,,0,37.3382,-121.886,ChIJ9T_5iuTKj4ARe3GfygqMnbk
NNUECJU5sZw,,,0,0,0,
FPrVxfhjgOI,,,0,0,0,
8t9qSjaDb2A,,,0,0,0,
SLkv5VEWwcI,,,0,0,0,
dsvUGhZ-QW8,,,0,0,0,
MGuvjGlLmWs,,,0,0,0,
XI7jH8Ymafg,,,0,0,0,
TdJ7cFo1Euk,,,0,0,0,
Et6MuBuwgxg,,,0,0,0,
p30jm4yIVvc,,,0,0,0,
1oOSZy7LZuQ,,,0,0,0,
rMbuIsfyml4,,,0,0,0,
3uDBho2caCE,,,0,0,0,
iePHCwu4apA,,,0,0,0,
v_GzqnD8oTA,,,0,0,0,
RC981F_ZIXA,,,0,0,0,
ckwtsb3IsDE,,,0,0,0,





