Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
b0pTYBekVC0,2020-03-11T02:17:25.081805+00:00,"First single written and performed by NoCapKevo (me)

Follow me on the socials!
Twitter - https://twitter.com/xokevino
Snapchat - https://www.snapchat.com/add/iamtwinker
Instagram- https://www.instagram.com/nocapkevo

Business Inquiries: kqplur@gmail.com

Music by KNASTYZ support him!!! :
purchase beats - https://prodbyknastyz.com
instagram - instagram.com/prodbyknastyz
business inquiries- prodbyknastyz@gmail.com

Mix and Master by Kusta of Burgundy Suites

Lyrics: 

(hook)
Pull up on the block lil' shorty she be wit' it
Exo boys we on the map no competition
You think you bangin' us on wax you dudes be trippin
Take that wax up out your ear you better listen
We aint g’s and we ain't frontin' nor we floggin
Exotic boys we aint a mob but aye we be mobbin
Them yellow boys that be rappin aint seen often
When they hear our music all the people boppin

(verse 1)
Ok, yeah we juiced up no OJ
Exotic and melodic yellows coming out san jose
I beat the pussy up and then I ended up on Maury
Told me it aint mine then I went to eat Chipotle
Ok, yeah we juiced up no oj
They think that I be trollin' something like if I was treyway
I'm treating every song like it’s giving me a payday
Murder on my mind with these beats they say mayday
Yellow boys up next and you be witnessing that we the shit
Can’t you see that we be lit
And everybody lookin' at us they cannot even resist
They lovin' all our witt
We be goin' all in and we never call it quits
This the life that we live
And if it doesn’t work out back to the basics
But that shit won’t even happen
All of you need to stop cappin'
And these girls so bad but they gotta stop yappin'
I don’t got need a gun this Katana bitch I'm packin'
And I'm makin' all these track and then collecting all these rackends
You don’t really need to know what I did back then 
Used to be slackin' but now a days I’m slappin'
Baby got that yellow fever come and ride the wagon
Ybs up next bet you can’t even imagine

(hook)
Pull up on the block lil' shorty she be wit' it
Exo boys we on the map no competition
You think you bangin' us on wax you dudes be trippin
Take that wax up out your ear you better listen
We aint g’s and we ain't frontin' nor we floggin
Exotic boys we aint a mob but aye we be mobbin
Them yellow boys that be rappin aint seen often
When they hear our music all the people boppin'

(verse 2)
Shhh.. please shut the fuck up
I'm tired of of these lames dudes talkin'
When I go on a track fans start hawkin'
Probably rather see me on YouTube vloggin'
Got fans from san jose up to Stockton
Mess with my clique poke your eyes with some chopsticks
Or maybe you get drop kicked
Two legs to your face make your body start floppin
And I can switch flow up, I'm about to glow up
Used to flip shit in my whip doin' donuts
I be goin' so nuts, she love it when I show up
Got a 4 with a liter boutta po' up
Bringin' back the hyphy, ain't nobody like me
Tryna get these checks ima do it like Nike
And aint nobody guide me
Did this shit by myself no advising",,2023-08-10T04:05:26.012368+00:00
YntI9ji-YBE,2020-03-11T02:17:43.22919+00:00,"My rendition of ThaiVG's ""Now That I''m Older."" Second song I ever recorded and did this challenge with the intention of making the song my own.

Follow me on the socials!
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo

Business Inquiries: kqplur@gmail.com

Huge Thank You to Kusta of Burgundy Suite! 

https://http://www.theburgundysuite.com/
https://https://www.instagram.com/kusta.grace/

Lyrics: 

[Verse 1]
I work so hard for the money
can’t nobody take that shit from me
I earned everything that I got
been at the bottom made my way up to the top
and I ain't tryna hear nobody shit
ain't nobody invested none of this
I took so many chances getting rich
and I knew my life would be like this
so I stayed on my grind, stayed on my grind
don’t ever come at me wasting my time
I've been so real with you my whole life
so don’t ever question me just be by my side
now that I'm older, this life yeah I chose it
butterfly door closing now the coupe is moving in motion
and in my mind feeling focused
and I'm no longer feeling hopeless 
and my people telling me I'm chosen
but my heart already know this

[Hook]
Now that I'm older
I got the weight up off my shoulders
knowing life ain't over
I gotta get right this my life (2x)

[Verse 2]
flow be melodic I’m new gen
now that I’m older I cut people off and I getta' choose all of my new friends
people they doubt me the way that I look actin like I don't follow the new trends
'member way back had no ends now I’m mature making amends
with my past yeah it was tragic I ain’t have shit
Watchu' know bout having only top ramen up in your cabinet
when the competition hear the way I do they all panic
now a days eating steak and lobster, I'm living lavish
now that I'm older my heart really colder
the smoke be potent odor dreams are getting a little closer
and in my mind feeling focus 
and I'm no longer feeling hopeless 
my people telling me I'm chosen
but my heart already know this
and I know I know I know
some of us been through the most
dominate from coast to coast
Now I'm on let’s make a toast

[Hook]
Now that I'm older
I got the weight up off my shoulders
knowing life ain't over
I gotta get right this my life (2x)",,2023-08-10T10:03:12.65925+00:00
A4gN4KuVVwA,2020-04-11T01:03:21.9706+00:00,"Bored at home

Mukbang starts at 5:51",,2023-08-11T11:06:50.51427+00:00
uBHjd7sLBQg,2020-04-12T21:52:21.186181+00:00,"Today was very special. Mukbang at around 3 mins.

Follow me on the socials!
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo

Business Inquiries: kqplur@gmail.com",MY OG taught me HOW TO MAKE THE BEST VIETNAMESE FRIED FISH (CÁ CHIÊN) + MUKBANG!,2023-08-11T06:15:46.055146+00:00
3Ga-lxVTSjY,2020-04-14T01:10:42.808668+00:00,"Thank You Christina!! I had fun making this video.

Shoutouts to Tristan Chu and Chris Tran. 

Mukbang starts at 5:58

Follow me on the socials!
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com",I made the “GUARANTEED TO GET YOU SOME” STEAK + MUKBANG!,2023-08-11T05:32:01.352156+00:00
7y9BbD4pgBw,2020-04-15T16:51:25.1364+00:00,"Had to split this into two parts. Big shout out to Claire, I haven’t made fried chicken in almost a year.

Flour mixture for both wheat and tapioca:

-3 Cups of starch
-1 tbls salt
-1/2 tsp poultry seasoning
-1/2 tsp ground ginger
-1/2 tsp ground garlic
-1/2 tsp nutmeg
-1/2 tsp thyme
-1/2 tsp white pepper
-1/2 tsp black pepper
-1/2 tsp paprika
-1/2 tsp celery salt
-1/2 tsp onion powder (optional) 

★ Shoutouts★
Kimmy
Timmy

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Watch the first part of the video - How to make TAPIOCA fried chicken:
►►https://youtu.be/7y9BbD4pgBw pt.1

#friedchicken #mukbang #asmr",How to make TAPIOCA FRIED CHICKEN + MUKBANG! Pt. 1,2023-08-09T19:48:50.919414+00:00
TElkuN3d_E0,2020-04-15T22:58:43.871713+00:00,"Part two of my series. Big shout out to Claire, I haven’t made fried chicken in almost a year.

★ Shoutouts★
Kimmy
Timmy

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Watch the first part of the video - How to make TAPIOCA fried chicken:
►►https://youtu.be/7y9BbD4pgBw pt.1

#friedchicken #mukbang #asmr",How to make TAPIOCA FRIED CHICKEN + MUKBANG! Pt. 2,2023-08-10T00:57:24.201496+00:00
OTS808LDypY,2020-04-16T20:39:23.936919+00:00,"Today I tried making fresh boba, and here's how it turned out.

Fresh Boba Ingredients: 
30g brown sugar
30g 30g water
45g Tapioca Starch

 Dalgona Coffee Ingredients:
1 part instacoffee
1 part water
1 part white sugar

★ Shoutouts★
Moriah D
Hunter D
Jai M

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com


How to make TAPIOCA fried chicken:
►►https://youtu.be/7y9BbD4pgBw pt.1
►►https://youtu.be/TElkuN3d_E0

#freshboba #dalgonacoffee #mukbang #asmr",My first time making FRESH BOBA and DALGONA COFFEE + MUKBANG!,2023-08-10T09:27:40.539773+00:00
4FHrrUhuLPI,2020-04-18T18:24:02.549079+00:00,"I got a little too tipsy, so I couldn't finish editing yesterday. Thank you Jai for suggesting this dish, it was quite exquisite. 

Ingredients for fried chicken can be found here:
https://www.youtube.com/watch?v=7y9BbD4pgBw&t=59s

Shoutouts:
Tomas
Kenny P
Eric H
Gavin T 
Lena D
Kat H

Follow me on the socials!
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

 #mukbang #asmr #leftoverschallenge",,2023-08-11T07:35:05.714238+00:00
k4d2a860SD0,2020-04-21T19:48:28.060083+00:00,"Decided that I'm going to be uploading on a consistent basis Monday-Friday @3pm, so that's why this video is a little late (and other obvious reasons.)

★ Shoutouts★
Johnny B. from Bay Area Fast Reel
Mister Tree Tree
Ivy D.

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com


I made the best HENESSY WINGS using LEFTOVERS too
►►https://youtu.be/4FHrrUhuLPI

#fourtwenty #mukbang #asmr",Felt like making a FANCY 4/20 FEAST with BRAISED SHORT RIBS + MUKBANG!,2023-08-11T09:41:01.404786+00:00
 -ksOXve-tKE,2020-04-22T21:26:45.226686+00:00,"Suuuuper spicy.


★ Shoutouts★
Dat Dat

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com


Shortrib Recipe can be found here:
►►https://www.youtube.com/watch?v=k4d2a860SD0&t=681s

#mukbang #asmr #cookingathome",,2023-08-10T13:47:02.615744+00:00
