Video ID,Approx Duration (ms),Video Audio Language,Video Category,Video Description (Original),Channel ID,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Tag 26,Tag 27,Tag 28,Tag 29,Tag 30,Tag 31,Tag 32,Tag 33,Tag 34,Tag 35,Tag 36,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
PrynUUwIs_E,39000,,Entertainment,fit 8 marshmallowssss,UCbClSOItOom1IT8ZLKnZYEA,chubby,bnny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Sierra 09,Private,Processed,2009-08-03T16:06:24+00:00,2009-08-03T16:08:08+00:00
kOnfakrCM9U,202000,,How-To,how to stretch your gloves,UCbClSOItOom1IT8ZLKnZYEA,cake,watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glove stretching,Private,Processed,2011-10-24T22:19:40+00:00,2011-10-24T23:45:35+00:00
uzlunUu3Xr4,150000,,How-To,ye $wag,UCbClSOItOom1IT8ZLKnZYEA,swagged,out,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[TDM] [SDR] Lips,Private,Processed,2011-10-28T03:37:20+00:00,2011-10-28T04:41:00+00:00
gDgz_7vPzXU,133000,,Entertainment,i need ma fuckin thumb lights,UCbClSOItOom1IT8ZLKnZYEA,SDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kq lightshow!!!,Private,Processed,2011-11-16T02:49:48+00:00,2011-11-16T03:45:08+00:00
zdOhOtp6rXM,234000,,Entertainment,zzzz,UCbClSOItOom1IT8ZLKnZYEA,SDR,lightshow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[S]o [D]amn [R]eal.,Private,Processed,2011-11-24T06:18:06+00:00,2011-11-24T07:57:11+00:00
Xqy4eXZ1x9Y,281000,,Entertainment,s/o to the NBD family!!!,UCbClSOItOom1IT8ZLKnZYEA,gloving,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[N]ever[B]ack[D]own progress vid,Private,Processed,2011-12-24T06:35:30+00:00,2011-12-24T09:17:26+00:00
s37enz3GAao,9000,,Comedy,I passéd on my powers,UCbClSOItOom1IT8ZLKnZYEA,Swag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 year old,Private,Processed,2012-01-03T03:06:40+00:00,2012-01-03T03:07:40+00:00
OMjHVN8sHvM,64000,,Comedy,Dusk,UCbClSOItOom1IT8ZLKnZYEA,Swag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 year old pt 2,Private,Processed,2012-01-03T03:18:30+00:00,2012-01-03T03:21:24+00:00
hkRnTxblGAg,147000,,Science,for tet,UCbClSOItOom1IT8ZLKnZYEA,NBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[NBD] fingaas,Private,Processed,2012-01-23T02:55:14+00:00,2012-01-23T03:01:33+00:00
p-wS8T7nl8A,214000,,Science,S/O to brother alex. Done with gloving. zzz,UCbClSOItOom1IT8ZLKnZYEA,glove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[NBD],Private,Processed,2012-01-31T00:26:53+00:00,2012-01-31T01:50:53+00:00
